firma;website;notiz;manual_review;tier;trust;gap;voice_fit;google_rating;google_reviews;reasons;score;ort;adresse;telefon;maps_url;query;discovered;place_id
Widmer H. & Co. AG;http://www.widmer-sanitaer.ch/;genau das suchen wir;yes;WARM;2;2;;5;1;"Trust 2: 1 Reviews — existiert digital; Gap 2: hat Website (Qualität manuell prüfen)";5;Seestrasse 203;Seestrasse 203, 8810 Horgen;044 725 47 00;https://maps.google.com/?cid=13257372604227438381&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Horgen;2026-03-06;ChIJj3NPb8uomkcRLcf4mSSm-7c
VIVARTE Service;http://www.vivarte-service.ch/;nicht unser spezialgebiet;no;WARM;2;2;;4.5;2;"Trust 2: 2 Reviews — existiert digital; Gap 2: hat Website (Qualität manuell prüfen)";5;Alte Landstrasse 14;Alte Landstrasse 14, 8810 Horgen;044 718 21 33;https://maps.google.com/?cid=13817476746813437648&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Horgen;2026-03-06;ChIJMeQ4OsmomkcR0PYIouSJwb8
Schaub Sanitär und Heizungstechnik GmbH;http://www.ssht.ch/;das suchen wir. Aber woher leistungen nehmen?;yes;WARM;2;2;;2.7;9;"Trust 2: 9 Reviews — existiert digital; Gap 2: hat Website (Qualität manuell prüfen)";5;Einsiedlerstrasse 263;Einsiedlerstrasse 263, 8810 Horgen;044 726 29 03;https://maps.google.com/?cid=212325018392746804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Horgen;2026-03-06;ChIJq6oe6tKomkcRNFs6snpU8gI
Benzenhofer Heizungen AG;https://benzenhofer-heizungen.digitalone.site/;genau das suchen wir, ist aber nur heizugen, woher nehmen wir die konkreten leistungen?;yes;WARM;1;3;;;;"Trust 1: auf Maps, aber 0 Reviews; Gap 3: Baukasten-Website";5;Steinbruchstrasse 25;Steinbruchstrasse 25, 8810 Horgen;079 458 73 68;https://maps.google.com/?cid=572177546017667142&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Horgen;2026-03-06;ChIJ__8vqs2omkcRRnjWUnLI8Ac
Beeler Haustechnik;http://www.beeler-haustechnik.ch/;"website steht ""Nicht sicher"" und verbidnung wurde verweigert";yes;WARM;2;2;;5;1;"Trust 2: 1 Reviews — existiert digital; Gap 2: hat Website (Qualität manuell prüfen)";5;Feldblumenweg 6;Feldblumenweg 6, 8800 Thalwil;044 722 12 03;https://maps.google.com/?cid=13694191182812859701&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Horgen;2026-03-06;ChIJAW4ewtOnmkcRNc3YaVOKC74
LM Bau und Renovationen GmbH;http://www.lm-bau-renovationen.ch/;nicht unser spezialgebiet;no;WARM;2;2;;5;1;"Trust 2: 1 Reviews — existiert digital; Gap 2: hat Website (Qualität manuell prüfen)";5;Zürcherstrasse 61;Zürcherstrasse 61, 8800 Thalwil;044 724 13 10;https://maps.google.com/?cid=7098034067121018703&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJS6RvMB4LkEcRT5dehmBIgWI
Anthony’s GmbH;http://www.anthonys.ch/;nicht unser spezialgebiet;no;WARM;2;2;;5;1;"Trust 2: 1 Reviews — existiert digital; Gap 2: hat Website (Qualität manuell prüfen)";5;Rütibohlstrasse 47;Rütibohlstrasse 47, 8135 Langnau am Albis;079 733 79 91;https://maps.google.com/?cid=9588050656805141716&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJHQTK5-OnmkcR1DxSz0WZD4U
Markus Staub GmbH;http://www.markusstaub.ch/;zu weit weg. Sonst top.;no;WARM;2;2;;5;2;"Trust 2: 2 Reviews — existiert digital; Gap 2: hat Website (Qualität manuell prüfen)";5;Kreuzrain 2;Kreuzrain 2, 6313 Edlibach;078 728 82 09;https://maps.google.com/?cid=4719274617853977010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJa8VITWasmkcRsiG02kI7fkE
Fust Küchen und Badezimmer | Ausstellung Horgen;https://kuechen-baeder.fust.ch/standort/kuechenausstellung-und-badausstellung-hinwil/;;;COLD;4;2;;4.1;22;"Trust 4: 4.1★ × 22 Reviews — solider Proof; Gap 2: hat Website (Qualität manuell prüfen); Disq: Enterprise/Kette";2;Seestrasse 149;Seestrasse 149, 8810 Horgen;044 718 17 67;https://maps.google.com/?cid=9085617517635466505&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Horgen;2026-03-06;ChIJeejhaMmomkcRCXW6n_6YFn4
Schmidlin Haustechnik GmbH;;;;HOT;2;5;2;5;2;"Trust 2: 2 Reviews; M1=5: keine Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";8;Zürcherstrasse 77;Zürcherstrasse 77, 8406 Winterthur;056 223 95 34;https://maps.google.com/?cid=2699280530358628928&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Winterthur;2026-06-16;ChIJtY8M0GyZmkcRQHInSVfFdSU
