firma;website;notiz;manual_review;tier;trust;gap;voice_fit;google_rating;google_reviews;reasons;score;ort;adresse;telefon;maps_url;query;discovered;place_id
Hug Baustoffe AG (Bülach) Baumaterial / Handwerkershop;https://hug-baustoffe.ch/;;;COLD;5;2;2;4.6;50;"Trust 5: 4.6★ × 50 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Ifangstrasse 21;Ifangstrasse 21, 8180 Bülach;044 863 40 60;https://maps.google.com/?cid=17107133794098785594&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Bülach;2026-06-16;ChIJu0SXkst1kEcROq1WWoy_aO0
Meier Sanitär/Heizung;http://www.sanitaer-hochfelden.ch/;;;COLD;5;2;2;4.8;33;"Trust 5: 4.8★ × 33 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7; M2+1: 2 Gewerke im Namen";5;Bergstrasse 4;Bergstrasse 4, 8182 Hochfelden;078 871 46 54;https://maps.google.com/?cid=18151314719441934006&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Bülach;2026-06-16;ChIJJQxdzRd0kEcRttanSpFs5vs
Hans Dünki GmbH;http://www.duenki.ch/;;;COLD;5;2;2;4.7;50;"Trust 5: 4.7★ × 50 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Gewerbestrasse 10;Gewerbestrasse 10, 8197 Rafz;044 869 13 95;https://maps.google.com/?cid=5514761191794251135&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Bülach;2026-06-16;ChIJw2u4Ded5kEcRf5UB4hVeiEw
Neukom Installationen AG;http://www.neukom.com/;;;COLD;2;2;2;1.8;5;"Trust 2: 5 Reviews; M1=2: hat Website; M2+1: Reparatur-nah; M2+1: keine Öffnungszeiten (Standard angenommen)";5;Solistrasse 37A;Solistrasse 37A, 8180 Bülach;044 860 75 65;https://maps.google.com/?cid=1317447280601036540&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Bülach;2026-06-16;ChIJQ8lchYB2kEcR_HaHUlKDSBI
HeizungsProfis AG;https://www.heizungsprofis.ch/;;;COLD;1;2;2;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Kaiserstuhlstrasse 34;Kaiserstuhlstrasse 34, 8154 Oberglatt;044 850 55 88;https://maps.google.com/?cid=13128831653972808440&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Bülach;2026-06-16;ChIJ24be7rJ1kEcR-BL0atT6MrY
Lienhard + Herter AG;https://www.lienhard-herter.ch/;;;COLD;3;2;2;4.7;3;"Trust 3: 4.7★ × 3 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Tannenstrasse 104;Tannenstrasse 104, 8424 Embrach;044 865 35 00;https://maps.google.com/?cid=4037112981504099313&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Bülach;2026-06-16;ChIJzcnHBBufmkcR8YOr_N20Bjg
Haustechnik-Bucher GmbH;https://www.haustechnik-bucher.ch/;;;COLD;2;2;2;5;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Müllackerstrasse 10;Müllackerstrasse 10, 8152 Opfikon;056 670 20 93;https://maps.google.com/?cid=3543230828079003089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Bülach;2026-06-16;ChIJ63YrFaihmkcR0bXcUKoVLDE
Rotondo U. Siegrist GmbH;http://rotondoklima.ch/;;;COLD;3;2;2;5;4;"Trust 3: 5★ × 4 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Tiefengasse 4;Tiefengasse 4, 8180 Bülach;044 860 78 12;https://maps.google.com/?cid=17110988398046216125&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Bülach;2026-06-16;ChIJixvmhS10kEcRvf9fRUpxdu0
Studer SHK AG;http://www.studershk.ch/;;;COLD;5;2;2;4.7;15;"Trust 5: 4.7★ × 15 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Aspstrasse 6;Aspstrasse 6, 8154 Oberglatt;044 301 22 66;https://maps.google.com/?cid=2977365794765299032&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Bülach;2026-06-16;ChIJZfkgOPN0kEcRWF1iY2q6USk
Landert Heizungen GmbH;http://www.landert-haustechnik.ch/;;;COLD;5;2;2;5;10;"Trust 5: 5★ × 10 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Züriacherstrasse 8;Züriacherstrasse 8, 8173 Neerach;044 858 33 33;https://maps.google.com/?cid=14263260214733384275&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Bülach;2026-06-16;ChIJly1yZYVzkEcRUyolZphH8cU
rt haustechnik GmbH;https://rt-haustechnik.digitalone.site/;;;COLD;3;3;1;4;4;"Trust 3: 4★ × 4 Reviews; M1=3: Baukasten-Website; M2+1: keine Öffnungszeiten (Standard angenommen)";5;Schaffhauserstrasse 108;Schaffhauserstrasse 108, 8180 Bülach;043 299 40 00;https://maps.google.com/?cid=6975047080810467416&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Bülach;2026-06-16;ChIJXeblmGCgmkcRWFBVV11YzGA
Fokus Haustechnik GmbH;https://fokus-haustechnik.ch/;;;COLD;5;2;2;5;14;"Trust 5: 5★ × 14 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Altmannsteinstrasse 8;Altmannsteinstrasse 8, 8181 Höri;044 558 36 36;https://maps.google.com/?cid=10252759504710989051&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Bülach;2026-06-16;ChIJCYPdZEd1kEcR-_TOtXIeSY4
B + K Haustechnik GmbH;https://www.bkhaustechnik.ch/;;;COLD;4;2;2;4.2;5;"Trust 4: 4.2★ × 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Steinackerstrasse 2;Steinackerstrasse 2, 8302 Kloten;044 501 56 61;https://maps.google.com/?cid=3354176543349697106&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Bülach;2026-06-16;ChIJDRXLu2MB_AMRUmpOhMttjC4
AB HAUSTECHNIK GmbH;https://ab-haustechnik.ch/;;;COLD;1;2;2;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Rathausgasse 3;Rathausgasse 3, 8180 Bülach;044 244 41 49;https://maps.google.com/?cid=1861868449453334186&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Bülach;2026-06-16;ChIJcaq4XNh1kEcRql4sfH2v1hk
Grillo Haustechnik GmbH;https://www.grillo-haustechnik.ch/;;;COLD;4;2;2;5;5;"Trust 4: 5★ × 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Schulhausstrasse 4;Schulhausstrasse 4, 8182 Hochfelden;079 222 30 90;https://maps.google.com/?cid=8978555106156990399&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Bülach;2026-06-16;ChIJvVbYoIp1kEcRv8_Bckw8mnw
MIMTECH Engineering GmbH;http://mimtech.ch/;;;COLD;3;2;2;5;4;"Trust 3: 5★ × 4 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Schützenmattstrasse 46;Schützenmattstrasse 46, 8180 Bülach;044 862 90 90;https://maps.google.com/?cid=3984092859317791179&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Bülach;2026-06-16;ChIJP19onjF1kEcRy6nOz1hXSjc
Sutter GmbH Schreinerei & mobile Werkstatt;http://www.schreinerei-sutter.ch/;;;COLD;5;2;2;5;25;"Trust 5: 5★ × 25 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Feldstrasse 59;Feldstrasse 59, 8180 Bülach;044 862 46 00;https://maps.google.com/?cid=4944401846466023767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Bülach;2026-06-16;ChIJOQbr5yF0kEcRV5FkZUgLnkQ
Dünki Marcel;http://www.sanitaerservice.ch/;;;COLD;1;2;1;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Berglistrasse 35;Berglistrasse 35, 8180 Bülach;079 752 75 14;https://maps.google.com/?cid=2941759591835164484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Bülach;2026-06-16;ChIJv24i2tt1kEcRRN_uPcM60yg
Hans Spillmann AG;http://www.spillmannag.ch/;;;COLD;2;2;1;3;6;"Trust 2: 6 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Kirchgasse 33;Kirchgasse 33, 8302 Kloten;044 814 25 95;https://maps.google.com/?cid=10444996363955721157&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Bülach;2026-06-16;ChIJt_LHF-6fmkcRxdPTYdoU9JA
Serwil GmbH;https://serwil.ch/;;;COLD;4;2;2;4.4;37;"Trust 4: 4.4★ × 37 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); Kein Telefon";4;Europa-Strasse 3;Europa-Strasse 3, 8152 Opfikon;;https://maps.google.com/?cid=2876129464817955931&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Bülach;2026-06-16;ChIJEw4X5O91kEcRWzSChoIQ6ic
Bürge Haustechnik AG;http://www.buerge-haustechnik.ch/;;;COLD;5;2;2;4.9;121;"Trust 5: 4.9★ × 121 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); Disq: 121 Reviews — Grossbetrieb";3;Niederhaslistrasse 18a;Niederhaslistrasse 18a, 8157 Dielsdorf;044 854 89 20;https://maps.google.com/?cid=7383460276843118468&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Bülach;2026-06-16;ChIJsd7Vag1zkEcRhP9wpgBSd2Y
Terzo Sanitär GmbH;https://www.terzosanitaer.ch/;;;COLD;5;2;1;5;109;"Trust 5: 5★ × 109 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7; Disq: 109 Reviews — Grossbetrieb";2;Chämletenweg 14;Chämletenweg 14, 8153 Rümlang;076 589 33 31;https://maps.google.com/?cid=8357726514578177105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Bülach;2026-06-16;ChIJT5HtuT-nmkcRUbxL3_ub_HM
Meier Tobler Marché Bachenbülach;https://www.meiertobler.ch/de/profis?utm_source=gmb&utm_medium=organic&utm_campaign=bachenbuelach;;;COLD;4;2;2;4.9;7;"Trust 4: 4.9★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); Disq: Enterprise/Kette";0;Kasernenstrasse 4B;Kasernenstrasse 4B, 8184 Bachenbülach;044 860 71 50;https://maps.google.com/?cid=1829529080982517834&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Bülach;2026-06-16;ChIJrchVCLV1kEcRSrg1ggHLYxk
Walter Rechberger;;;;HOT;3;5;2;5;3;"Trust 3: 5★ × 3 Reviews; M1=5: keine Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";8;Zürcherstrasse 67;Zürcherstrasse 67, 8500 Frauenfeld;052 720 25 25;https://maps.google.com/?cid=13480924919744832038&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJY3i7U8yRmkcRJiIaHcrdFbs
Swisstherm AG;;;;HOT;2;5;2;5;1;"Trust 2: 1 Reviews; M1=5: keine Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";8;Gewerbestrasse 7;Gewerbestrasse 7, 8500 Frauenfeld;071 672 45 00;https://maps.google.com/?cid=8595656321955023105&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Frauenfeld;2026-06-17;ChIJI-LNnIKRmkcRAUl4EeLnSXc
Pierre Sanitär Design GmbH;https://www.pierre-sanitaer-design.ch/;;;WARM;2;2;3;5;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+2: Notdienst/Sanitär; M2+1: keine Öffnungszeiten (Standard angenommen)";6;Zürcherstrasse 305;Zürcherstrasse 305, 8500 Frauenfeld;052 730 11 73;https://maps.google.com/?cid=1202918968159302234&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJP7Ta-YuRmkcRWvK2nm2gsRA
R. Gerber AG Sanitär/Heizungen;http://www.rgerberag.ch/;;;WARM;4;2;3;5;6;"Trust 4: 5★ × 6 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Dorfstrasse 3;Dorfstrasse 3, 8552 Felben-Wellhausen;052 765 18 85;https://maps.google.com/?cid=142114601183941167&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Frauenfeld;2026-06-17;ChIJ01cn3kmNmkcRLxL3EHrk-AE
Renova-Umbau M.Petzel;https://www.renova-umbau.ch/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15468382458248204166;;;WARM;4;3;2;5;5;"Trust 4: 5★ × 5 Reviews; M1=3: Baukasten-Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";6;Zum Pk. 5;Zum Pk. 5, 8404 Winterthur;079 583 23 32;https://maps.google.com/?cid=10350096471626414406&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Frauenfeld;2026-06-17;ChIJb9HQda-XYaYRRvlQXuftoo8
Schäfli + Dieterich AG;http://www.haustechnet.ch/;;;COLD;5;2;2;4.5;28;"Trust 5: 4.5★ × 28 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Zürcherstrasse 254;Zürcherstrasse 254, 8500 Frauenfeld;052 723 30 60;https://maps.google.com/?cid=1628587055553118679&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJGcP3jxmSmkcR1wELZEznmRY
Häfelin AG;http://www.haefelin-ag.ch/;;;COLD;4;2;2;4.4;29;"Trust 4: 4.4★ × 29 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Algisserstrasse 6;Algisserstrasse 6, 8500 Frauenfeld;052 725 05 05;https://maps.google.com/?cid=3542752147482123228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJLyrYFyKSmkcR3JvszU5iKjE
Bosshard AG;http://www.bosshard-frauenfeld.ch/;;;COLD;5;2;2;4.8;17;"Trust 5: 4.8★ × 17 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Talackerstrasse 2;Talackerstrasse 2, 8500 Frauenfeld;052 722 41 71;https://maps.google.com/?cid=17466766826148621806&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJz-IYQhqSmkcR7m0qr-JrZvI
Thur Haustechnik AG;https://www.thur-haustechnik.ch/;;;COLD;4;2;2;5;9;"Trust 4: 5★ × 9 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Allmendweg 20A;Allmendweg 20A, 8500 Frauenfeld;079 241 31 82;https://maps.google.com/?cid=17979331029551476289&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJBTu5SjONmkcRQe6SE1Bqg_k
Schütz Gebäudetechnik AG - Frauenfeld;https://www.schuetzgebaeudetechnikag.ch/;;;COLD;5;2;2;5;17;"Trust 5: 5★ × 17 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Messenriet 32;Messenriet 32, 8500 Frauenfeld;052 375 13 70;https://maps.google.com/?cid=6200263477666809486&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJq9WDxKmRmkcRjoYoVMjCC1Y
MB Haustechnik;http://www.mb-haustechnik.ch/index.html;;;COLD;5;2;2;4.6;10;"Trust 5: 4.6★ × 10 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Zürcherstrasse 15;Zürcherstrasse 15, 8500 Frauenfeld;078 806 10 17;https://maps.google.com/?cid=998191618823447081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJ16RIfAORmkcRKWK-Gf1J2g0
Hans Keller Energietechnik AG;https://www.hanskeller.ch/Home;;;COLD;5;2;2;4.9;11;"Trust 5: 4.9★ × 11 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Ulmenstrasse 76;Ulmenstrasse 76, 8500 Frauenfeld;052 720 81 60;https://maps.google.com/?cid=6269412053367679668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJKxjRMZGRmkcRtGqItwttAVc
Angst AG, Sanitär- und Spenglerarbeiten;http://www.angst-ag.ch/;;;COLD;4;2;2;4.2;12;"Trust 4: 4.2★ × 12 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Breitenstrasse 22;Breitenstrasse 22, 8500 Frauenfeld;052 721 15 05;https://maps.google.com/?cid=8297053198774479940&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJxf_QqR2SmkcRRKx4s-wNJXM
IQ Heizungen GmbH;https://www.iq-heizungen.ch/;;;COLD;3;2;2;5;3;"Trust 3: 5★ × 3 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Dorfstrasse 13;Dorfstrasse 13, 8500 Frauenfeld;052 534 54 16;https://maps.google.com/?cid=15115200906583924726&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJt3zld2P5pa8R9t-YCST7w9E
M. Rellstab GmbH;http://www.sanitaer-frauenfeld.ch/;;;COLD;1;2;2;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Ziegeleistrasse 8;Ziegeleistrasse 8, 8500 Frauenfeld;052 721 16 82;https://maps.google.com/?cid=17463740029089222072&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJFw1F0huSmkcRuA2ikwerW_I
Die Klimamacher AG;http://www.dieklimamacher.ch/;;;COLD;2;2;2;5;2;"Trust 2: 2 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Hungerbüelstrasse 22;Hungerbüelstrasse 22, 8500 Frauenfeld;052 728 40 00;https://maps.google.com/?cid=16940756450572504126&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Frauenfeld;2026-06-17;ChIJa3VTBeqRmkcRPgzIXjyoGes
Heizungmaterial;http://www.heizungmaterial.at/;;;COLD;2;2;2;5;2;"Trust 2: 2 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;St. Johannstrasse 29;St. Johannstrasse 29, 8500 Frauenfeld;076 733 47 04;https://maps.google.com/?cid=16855367914720128242&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Frauenfeld;2026-06-17;ChIJUeQHcXuRmkcR8uxom9BL6uk
bollinger ag;http://www.bollingerag.ch/;;;COLD;5;2;2;4.9;18;"Trust 5: 4.9★ × 18 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Rüetschbergstrasse 1;Rüetschbergstrasse 1, 8356 Aadorf;052 521 20 30;https://maps.google.com/?cid=12070326206391382749&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Frauenfeld;2026-06-17;ChIJz2GAjg6VmkcR3fILv7tpgqc
müller & partner ag;http://www.müller-partner.ch/;;;COLD;5;2;2;4.9;37;"Trust 5: 4.9★ × 37 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Murgstrasse 15;Murgstrasse 15, 9545 Wängi;052 378 17 92;https://maps.google.com/?cid=6409750897479129427&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Frauenfeld;2026-06-17;ChIJ_7fry16TmkcRUxn8HnsC9Fg
Sanitär Berger GmbH;http://www.sanberger.ch/;;;COLD;5;2;2;4.9;32;"Trust 5: 4.9★ × 32 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Mezikonerstrasse 8A;Mezikonerstrasse 8A, 9542 Münchwilen;079 249 92 47;https://maps.google.com/?cid=12675737059625686707&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Frauenfeld;2026-06-17;ChIJ6aSNz13rmkcRs1Y-YbJD6a8
Urs Liechti GmbH;https://www.uliechti.ch/;;;COLD;3;2;2;3.9;7;"Trust 3: 3.9★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Steinler 10;Steinler 10, 8545 Rickenbach Sulz;052 337 19 14;https://maps.google.com/?cid=6947525197789631542&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Frauenfeld;2026-06-17;ChIJRQLAcoKQmkcRNpRTmluRamA
Equans Switzerland AG;https://www.equans.ch/;;;COLD;4;2;2;4.9;8;"Trust 4: 4.9★ × 8 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Im Alexander 4;Im Alexander 4, 8500 Frauenfeld;052 725 29 29;https://maps.google.com/?cid=4062693424936441123&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Frauenfeld;2026-06-17;ChIJbemwxhqSmkcRI9WmGCWWYTg
Steger AG;http://www.steger.ag/;;;COLD;5;2;2;4.6;25;"Trust 5: 4.6★ × 25 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Wiesentalstrasse 34;Wiesentalstrasse 34, 8355 Aadorf;052 368 81 81;https://maps.google.com/?cid=13217389520056361848&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Frauenfeld;2026-06-17;ChIJSe95dXSUmkcReCPuYL2Zbbc
Ammann Haustechnik;https://www.ihrhaustechniker.ch/ihrhaustechniker/Ammann_Haustechnik.html;;;COLD;2;2;2;5;2;"Trust 2: 2 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Strehlgasse 1;Strehlgasse 1, 8547 Gachnang;052 722 20 10;https://maps.google.com/?cid=18208949721932849430&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Frauenfeld;2026-06-17;ChIJ0RB2uvKRmkcRFmHBBEwvs_w
SWT-Gebäudetechnik GmbH;https://swt-gebaeudetechnik.ch/;;;COLD;3;2;2;5;4;"Trust 3: 5★ × 4 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Altweg 12;Altweg 12, 8500 Frauenfeld;052 721 14 14;https://maps.google.com/?cid=2581106027894935590&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Frauenfeld;2026-06-17;ChIJma7-XSCSmkcRJhBM0EHu0SM
